Moisture,Temperature,EC,pH,Nitrogen,Phosphorous,Potassium
101.67,25.5,172,7.4,12,17,34
101.11,26.6,174,7.24,12,17,34
100.56,26.6,177,7.04,12,17,35
101.67,26.6,177,6.8,12,17,35
101.11,26.6,179,6.6,12,17,35
101.67,27.5,179,6.6,12,18,36
101.11,27.5,182,6.4,13,18,36
102.22,27.5,183,6.4,13,18,36
101.67,27.5,184,6.2,13,18,36
101.67,26.7,184,6.2,13,18,37
101.67,26.7,185,6.2,13,18,37
101.67,26.7,186,6,13,18,37
101.67,26.7,186,6,13,18,37
101.67,26.7,187,6,13,18,37
101.67,26.7,188,5.76,13,18,37
101.67,26.7,188,5.76,13,18,37
101.67,33,189,5.76,13,18,37
101.67,32.9,189,5.76,13,18,37
101.67,32.9,190,5.76,13,19,38
101.67,32.9,189,5.52,13,19,38
102.22,32.9,190,5.52,13,18,38
101.11,32.9,189,5.52,13,19,38
101.11,32.9,191,5.52,13,19,38
102.22,33.1,192,5.52,13,19,38
101.67,32.1,193,5.52,13,19,38
101.67,30.5,193,5.52,13,19,38
102.22,33,192,5.52,13,19,38
102.22,32.9,194,5.52,13,19,38
102.22,32.9,195,5.52,13,19,39
101.67,32.9,195,5.52,13,19,39
101.67,32.9,196,5.52,13,19,39
102.22,32.9,195,5.52,14,19,39
101.67,32.9,196,5.52,13,19,39
101.67,32.8,195,5.52,14,19,39
101.67,32.8,196,5.52,14,19,39
101.67,33,196,5.52,13,19,39
102.22,32.9,196,5.52,14,19,39
102.22,32.9,197,5.52,14,19,39
102.22,32.9,198,5.52,14,19,39
102.22,32.9,198,5.52,14,19,39
102.22,32.9,197,5.52,14,19,39
102.78,32.9,197,5.52,14,19,39
102.22,32.8,198,5.52,14,19,39
102.22,29.7,198,5.52,14,19,39
102.22,29.6,197,5.52,14,19,39
102.22,29.6,199,5.52,14,19,39
102.22,29.6,199,5.72,14,19,39
102.22,29.6,198,5.72,14,19,39
102.22,29.6,198,5.96,14,20,40
102.22,29.5,199,5.96,14,19,39
102.22,29.5,199,5.96,14,20,40
102.22,29.5,199,5.96,14,19,39
102.22,29.5,199,6.12,14,19,39
102.22,29.4,200,6.12,14,20,40
102.22,29.4,200,6.12,14,20,40
102.22,29.5,199,6.12,14,20,40
102.22,29.5,200,6.12,14,20,40
102.22,29.4,200,5.96,14,20,40
102.22,29.4,199,5.96,14,20,40
102.22,29.3,200,5.96,14,20,40
102.22,29.3,200,5.96,14,20,39
102.22,29.3,199,6.12,14,20,40
102.22,29.3,200,6.12,14,20,40
102.78,29.3,200,6.12,14,20,40
102.78,29.1,200,6.12,14,20,40
102.78,29.1,200,6.12,14,20,40
102.78,29.1,201,6.12,14,20,40
102.22,29.2,201,6.12,14,20,40
102.22,29.3,201,6.12,14,20,40
102.78,29.3,201,6.12,14,20,40
102.78,29.3,202,6.12,14,20,40
103.33,29.3,201,6.12,14,20,40
102.78,29.3,201,6.12,14,20,40
102.78,29.2,202,6.12,14,20,40
102.22,29.1,202,6.12,14,20,40
102.78,29.2,203,6.12,14,20,40
102.78,29.2,203,6.12,14,20,40
102.22,29.1,202,6.12,14,20,40
102.22,29.1,202,6.12,14,20,40
103.33,29.1,202,6.12,14,20,40
102.22,29.1,202,6.12,14,20,40
102.78,29,202,6.12,14,20,40
80,29,63,6.08,2,3,8
90,29,138,1.56,9,13,27
90.56,28.9,140,0.04,10,14,28
90,29.1,142,9.4,10,14,28
90.56,29.1,143,8.84,10,14,28
90,29.1,144,8.44,10,14,29
90.56,29.2,146,8.04,10,14,29
90,29.3,146,7.68,10,14,29
90,29.3,146,7.48,10,14,29
90,29.3,147,7.08,10,14,29
90,29.3,148,6.88,10,14,29
90,29.3,148,6.72,10,14,29
90.56,29.2,149,6.72,10,14,29
90.56,29.1,150,6.52,10,15,30
91.67,29.2,149,6.32,10,14,30
92.22,29.2,150,6.32,10,15,30
91.67,29.1,150,6.12,10,15,30
92.22,29.1,151,6.12,10,15,30
92.22,29.1,150,6.12,10,15,30
91.67,29.1,152,5.92,10,15,30
91.67,29,153,5.92,10,15,30
92.22,29,152,5.92,10,15,30
92.22,29.1,153,5.92,10,15,30
91.67,29.1,153,5.72,10,15,30
91.67,29.1,153,5.72,10,15,30
91.67,29.2,154,5.52,11,15,30
91.67,29.3,154,5.52,10,15,30
91.67,29.3,154,5.52,11,15,30
