Moisture,Temperature,EC,pH,Nitrogen,Phosphorous,Potassium
8.89,28.6,154,5.66,18,26,52
8.89,26.5,154,5.72,18,26,52
8.33,26.5,154,5.68,18,26,52
8.89,20.6,155,5.69,18,26,52
8.33,20.87,158,5.72,18,26,52
7.78,21.77,155,5.71,18,26,52
8.89,23,158,5.72,18,26,52
8.89,26.49,159,5.69,18,26,52
7.78,20.13,158,5.68,18,26,52
8.89,23.05,159,5.67,18,26,52
8.89,22.7,158,5.66,18,26,52
8.33,20.27,158,5.64,18,26,52
8.33,24.51,158,5.7,18,26,53
7.78,23.22,158,5.72,18,26,52
8.33,26.52,159,5.68,18,26,52
8.33,26.8,158,5.69,18,26,52
8.89,26.8,159,5.72,18,26,52
8.89,24.01,158,5.71,18,26,52
8.89,25.66,158,5.72,18,26,52
8.89,24.28,159,5.69,18,26,52
8.33,21.58,158,5.68,18,26,52
8.89,23.79,159,5.67,18,26,52
8.89,21.86,158,5.66,18,26,52
8.89,23.57,158,5.72,18,26,52
8.33,21.32,158,5.68,18,26,52
8.89,25.15,158,5.69,18,26,52
8.33,21.94,159,5.72,18,26,52
8.33,21.05,158,5.71,18,26,52
8.89,23.48,159,5.72,18,26,52
8.33,25.07,158,5.69,18,26,52
8.89,26.35,155,5.68,18,26,52
8.89,24.52,158,5.67,18,26,52
8.89,25.5,159,5.66,18,26,52
