Moisture,Temperature,EC,pH,Nitrogen,Phosphorous,Potassium
21.11,21.44653958,73,0,5,95,14
21.67,21.44653958,73,4.92,5,7,14
22.78,21.44653958,73,4.92,5,7,14
21.67,21.44653958,73,4.92,5,7,14
22.22,21.44653958,73,4.84,5,7,14
21.67,21.44653958,73,4.84,5,7,14
21.67,21.44653958,74,4.84,5,7,14
21.67,21.44653958,74,4.84,5,7,14
21.11,21.44653958,74,4.84,5,7,14
22.22,21.44653958,74,4.84,5,7,14
21.67,21.44653958,74,4.84,5,7,14
21.67,21.44653958,74,4.84,5,7,14
22.78,21.44653958,74,4.84,5,7,14
21.67,21.44653958,74,4.84,5,7,14
21.67,21.44653958,74,4.84,5,7,14
22.22,21.44653958,74,4.84,5,7,14
21.67,21.44653958,74,4.84,5,7,14
21.67,21.44653958,74,4.84,5,7,14
22.22,21.44653958,74,4.84,5,7,14
21.67,21.44653958,74,4.84,5,7,14
21.67,21.44653958,74,4.84,5,7,14
22.22,21.44653958,75,4.84,5,7,14
21.67,21.44653958,74,4.84,5,7,14
21.67,21.44653958,75,4.84,5,7,15
0.56,21.44653958,74,0.08,5,7,15
21.67,21.44653958,75,4.84,5,7,15
21.67,21.44653958,75,4.84,5,7,15
23.33,21.44653958,75,4.84,5,7,15
21.67,21.44653958,75,4.84,5,7,15
21.67,21.44653958,75,4.84,5,7,15
22.22,21.44653958,75,9.96,5,7,14
22.22,21.44653958,75,4.84,5,7,15
22.22,21.44653958,75,4.84,5,7,15
22.22,21.44653958,74,4.84,5,7,14
22.22,21.44653958,75,4.84,5,7,15
21.67,21.44653958,75,4.84,5,7,175
23.33,21.44653958,75,0.28,5,7,15
21.67,21.44653958,74,5.12,5,7,15
21.67,21.44653958,75,4.84,5,2,15
21.67,21.44653958,75,4.84,5,7,0
21.67,21.44653958,75,4.84,5,7,15
23.33,21.44653958,75,4.84,5,7,15
31.11,21.44653958,75,4.84,5,7,15
22.78,21.44653958,74,4.84,5,7,14
22.78,21.44653958,74,4.84,5,7,15
21.67,21.44653958,75,4.84,5,7,15
21.67,21.44653958,75,4.84,5,7,14
21.67,21.44653958,75,4.84,5,7,15
21.67,21.44653958,75,4.84,5,7,15
1.67,21.44653958,75,4.84,5,7,15
21.67,21.44653958,75,4.84,5,7,15
21.67,21.44653958,75,4.84,5,7,15
22.22,21.44653958,75,4.84,5,7,14
22.22,21.44653958,75,4.84,5,7,14
22.22,21.44653958,75,4.84,5,7,14
21.67,21.44653958,75,4.84,5,7,14
22.22,21.44653958,74,3.84,5,7,14
21.67,21.44653958,75,4.84,5,7,14
22.22,21.44653958,75,4.84,5,7,15
22.78,21.44653958,75,4.84,5,7,14
21.67,21.44653958,26,4.84,5,7,14
21.67,21.44653958,74,4.84,5,7,14
22.22,21.44653958,75,4.84,5,7,14
22.22,21.44653958,75,4.84,5,7,14
22.22,21.44653958,74,4.84,5,7,15
