Moisture,Temperature,EC,pH,Nitrogen,Phosphorous,Potassium
16.67,25.50,187,5.36,13,18,37
16.11,25.50,187,5.36,13,18,37
16.11,25.50,188,5.36,13,18,37
16.11,25.50,188,5.36,13,18,37
16.11,25.50,188,5.36,13,18,37
16.11,25.50,96,5.36,13,18,37
16.11,25.50,189,5.36,13,18,37
16.11,25.50,188,5.36,13,18,37
16.11,25.50,188,5.36,13,18,37
16.11,25.50,190,5.36,13,18,37
16.67,25.50,189,5.36,13,19,38
16.11,25.50,189,5.36,13,18,37
16.11,25.50,188,5.36,13,18,37
16.11,25.50,188,5.36,13,18,37
16.67,25.50,188,5.36,13,18,37
16.67,25.50,189,5.36,13,18,37
16.11,25.50,188,5.36,13,18,37
16.67,25.50,188,5.36,13,19,38
16.11,25.50,190,5.36,13,19,37
16.67,25.50,188,5.36,13,19,38
17.22,25.50,189,5.36,13,18,37
17.22,25.50,189,5.36,13,19,38
17.22,25.50,191,5.36,13,19,38
16.67,25.50,191,5.36,13,18,38
16.67,25.50,190,5.36,13,19,38
17.22,25.50,191,5.36,13,19,38
17.22,25.50,191,5.36,13,19,38
17.22,25.50,190,5.36,13,19,38
16.67,25.50,190,5.36,13,19,38
17.22,25.50,190,5.36,13,19,38
16.67,25.50,191,5.36,13,19,38
17.78,25.50,191,5.36,13,19,38
16.67,25.50,190,5.36,13,19,38
17.78,25.50,190,5.36,13,19,38
17.22,25.50,191,5.36,13,19,38
17.22,25.50,190,5.36,13,19,38
17.78,25.50,191,5.36,13,19,38
17.22,25.50,190,5.36,13,19,38
17.78,25.50,191,5.36,13,19,38
17.78,25.50,191,5.36,13,19,38
16.67,25.50,191,5.36,13,19,38
16.67,25.50,190,5.36,13,19,38
17.78,25.50,190,5.36,13,19,38
16.67,25.50,191,5.36,13,19,38
17.78,25.50,191,5.36,13,19,38
17.78,25.50,191,5.36,13,19,38
17.22,25.50,190,5.36,13,19,38
17.78,25.50,190,5.36,13,19,38
17.22,25.50,190,5.36,13,19,38
17.22,25.50,190,5.36,29,19,38
